datetime,actual,predicted
93886,17.0,20.405965862167502
93887,17.0,19.33907042264026
93888,17.0,18.918691667455292
93889,17.0,18.500590482668272
93890,17.0,18.583350271019423
93891,17.0,17.882734033854472
93892,17.0,17.777064948811205
93893,17.0,17.707162829704817
93894,16.0,17.851348485100136
93895,16.0,17.709636970888926
93896,17.0,17.63995326192391
93897,17.0,17.901132141390892
93898,18.0,19.044632463592947
93899,18.0,19.155727072237074
93900,18.0,19.18615370329121
93901,20.0,22.010856279794936
93902,22.0,22.08053027173966
93903,21.0,22.0098425493574
93904,22.0,22.609927063484147
93905,23.0,22.84410936158333
93906,21.0,21.741592467794945
93907,21.0,22.24470286257794
93908,21.0,22.301502361045177
93909,19.0,20.18839816027607
93910,18.0,19.05866326559712
93911,18.0,18.916964843692675
93912,19.0,19.808400788825555
93913,18.0,18.79184485516749
93914,18.0,19.036261747879067
93915,17.0,18.188728868422547
93916,16.0,17.9915081162121
93917,17.0,17.57938550013803
93918,16.0,17.80526345398353
93919,16.0,17.486204800979966
93920,16.0,17.319608287962826
93921,16.0,17.415757706035055
93922,19.0,17.00336074733806
93923,22.0,18.73735149496561
93924,23.0,20.971337053303653
93925,24.0,24.020400900787976
93926,28.0,25.099661342744444
93927,28.0,23.075929234473534
93928,29.0,22.696532175841778
93929,29.0,23.78835748003006
93930,28.0,23.159421530227643
93931,28.0,22.661857665402508
93932,26.0,23.386291122438863
93933,24.0,21.074151901890918
93934,21.0,18.540523194761064
93935,21.0,20.95869616930219
93936,21.0,21.123129404837126
93937,21.0,17.041794659469776
93938,21.0,20.926543643272158
93939,20.0,18.925444449495732
93940,19.0,19.024744464626973
93941,18.0,17.766789133704147
93942,18.0,17.32591998131889
93943,17.0,17.2071970911506
93944,18.0,17.895874901243534
93945,18.0,18.817096902702943
93946,22.0,19.2838881671638
93947,25.0,19.248251313797144
93948,28.0,21.494603642087657
93949,30.0,23.323068859011702
93950,32.0,21.84771004703386
93951,32.0,24.751320612447426
93952,32.0,25.739035271483786
93953,32.0,22.49245211124035
93954,30.0,24.659667305514688
93955,31.0,24.56731527769284
93956,28.0,23.284077228678882
93957,26.0,22.728434215132225
93958,23.0,21.107167372867483
93959,22.0,20.924771524823157
