datetime,actual,predicted
93886,17.0,21.46140185599097
93887,17.0,19.07927914059835
93888,17.0,18.911556172766655
93889,17.0,18.648992609494226
93890,17.0,19.90223868710499
93891,17.0,18.24215589473151
93892,17.0,18.950451307436953
93893,17.0,19.173145134198094
93894,16.0,18.933567937156404
93895,16.0,18.74954492141153
93896,17.0,18.252347901697565
93897,17.0,18.085998269381832
93898,18.0,18.796931828525995
93899,18.0,19.202923471093232
93900,18.0,20.487078056309162
93901,20.0,20.630749916515455
93902,22.0,21.92723673011693
93903,21.0,22.784739331028433
93904,22.0,23.502669828398627
93905,23.0,22.313109054107205
93906,21.0,24.055436601385594
93907,21.0,23.778999895567562
93908,21.0,23.108320622011167
93909,19.0,21.47454822354099
93910,18.0,19.038908038181948
93911,18.0,19.06616246513984
93912,19.0,18.657437578755303
93913,18.0,18.52509527459627
93914,18.0,18.276033951076105
93915,17.0,18.96973720265808
93916,16.0,18.32210827959026
93917,17.0,18.018293410153507
93918,16.0,18.632209965459662
93919,16.0,18.017577958871126
93920,16.0,17.31676078479188
93921,16.0,17.934827960674806
93922,19.0,18.238410791175387
93923,22.0,19.395178948117007
93924,23.0,20.824664714608
93925,24.0,22.255498770835942
93926,28.0,23.386073522895728
93927,28.0,23.65740402659806
93928,29.0,24.158319585277344
93929,29.0,24.457264980581346
93930,28.0,24.138200358611442
93931,28.0,24.538514743817583
93932,26.0,24.255714558552388
93933,24.0,22.797335720837168
93934,21.0,20.022660410475353
93935,21.0,19.18472243093979
93936,21.0,20.31728753294308
93937,21.0,18.45234301294117
93938,21.0,18.38733610716283
93939,20.0,19.460762550558833
93940,19.0,18.340229747140157
93941,18.0,18.67871328231239
93942,18.0,18.212580488830046
93943,17.0,19.176481887379843
93944,18.0,18.363358284698805
93945,18.0,18.546563972706675
93946,22.0,19.19342745436094
93947,25.0,20.07189090346027
93948,28.0,21.323324689769578
93949,30.0,22.47147731542482
93950,32.0,23.075529719323402
93951,32.0,23.5538223928623
93952,32.0,23.75207492767909
93953,32.0,24.42971101435089
93954,30.0,24.436754923745998
93955,31.0,24.25479422507547
93956,28.0,24.243363701717353
93957,26.0,22.325082770560112
93958,23.0,21.647149593361803
93959,22.0,19.988740775954753
93960,22.0,19.330066521193896
93961,22.0,19.191768472875165
93962,22.0,18.826035105332362
93963,21.0,18.861923692675408
93964,21.0,19.21308447487606
93965,19.0,18.203785754439014
93966,19.0,18.564142142791383
93967,19.0,18.851369772401227
93968,19.0,18.7887942363334
93969,19.0,18.637719628289627
93970,22.0,18.12323288862476
93971,25.0,19.382760872119267
93972,27.0,20.929154633416776
93973,29.0,22.409224547415548
93974,31.0,23.317695027340218
93975,31.0,23.713576366450553
93976,31.0,24.22337364553812
93977,31.0,25.01819870826773
93978,31.0,25.215494743070966
93979,30.0,25.191063344268628
93980,28.0,22.975989157942184
93981,26.0,22.122965511457068
93982,24.0,20.14677459079085
93983,23.0,20.339289022689133
93984,22.0,19.411039108931025
93985,21.0,19.617141589497198
93986,20.0,18.486440385182803
93987,19.0,18.473402784345485
93988,19.0,18.466955041687417
93989,18.0,18.52111126879581
93990,19.0,18.663281139135844
93991,19.0,18.943776384630933
93992,19.0,18.17323434789984
93993,19.0,17.848043573124556
93994,21.0,19.24394269115762
93995,21.0,19.595117586316064
93996,23.0,20.80091064099494
93997,25.0,22.213452461401232
93998,24.0,23.09634044810881
93999,27.0,23.51374225004098
94000,26.0,24.866142401381428
94001,26.0,24.354522891948605
94002,27.0,24.760668869451962
94003,27.0,24.89455199138452
94004,24.0,23.530926306523686
94005,22.0,22.54186503475147
94006,21.0,20.935104037170632
94007,21.1,20.998716077521973
94008,21.0,19.23840410500767
94009,20.0,19.27891166252626
94010,19.0,19.112514311896163
94011,18.0,19.233179848426428
94012,18.0,19.528162661058968
94013,16.0,19.710545221351875
94014,16.0,19.135625774300742
94015,16.0,19.10374649639682
94016,15.0,18.95496783624609
94017,17.0,18.71018074498133
94018,18.0,18.76113719498558
94019,21.0,19.867487991699672
